8,27,94,64,0
1,58,52,15,0
20,32,5,87,0
25,50,81,82,1
70,1,46,25,0
29,14,42,89,0
6,87,87,42,1
94,64,13,24,0
98,3,14,81,0
76,50,2,75,1
38,76,61,34,1
21,1,14,59,0
13,75,73,52,1
51,50,45,64,1
37,67,79,98,1
86,57,19,52,1
25,3,86,78,0
88,72,15,27,1
77,32,11,70,0
21,71,69,84,1
63,93,77,57,1
37,57,55,35,0
94,39,85,49,1
35,71,94,45,1
56,46,62,15,0
79,21,98,56,1
11,91,9,61,0
5,73,90,7,0
56,53,87,85,1
97,71,25,92,1
62,77,93,9,1
56,40,18,46,0
64,61,14,61,0
48,44,7,31,0
13,19,12,74,0
14,92,37,50,0
4,65,95,54,1
73,46,37,14,0
26,54,49,7,0
44,76,79,50,1
15,24,36,14,0
91,12,33,26,0
33,42,6,41,0
62,74,80,39,1
74,22,29,34,0
77,44,68,94,1
98,13,73,49,1
53,88,79,11,1
49,89,42,27,1
17,5,52,48,0
