8,64,83,77,8
1,76,57,8,1
20,83,60,54,20
25,56,69,74,25
70,16,71,38,70
29,16,67,90,29
6,96,100,80,6
94,54,46,13,94
98,74,86,51,98
76,30,68,85,76
38,1,5,1,38
21,80,24,27,21
13,19,25,55,13
51,25,60,46,51
37,41,9,48,37
86,87,14,65,86
25,27,91,37,25
88,32,8,25,88
77,27,85,26,77
21,51,27,72,21
63,3,76,100,63
37,72,40,5,37
94,39,16,23,94
35,31,65,44,35
56,55,80,34,56
79,94,58,69,79
11,71,74,88,11
5,90,25,9,5
56,38,56,100,56
97,71,83,56,97
62,63,49,9,62
56,29,14,56,56
64,64,81,63,64
48,91,16,93,48
13,90,97,74,13
14,89,74,28,14
4,85,4,86,4
73,17,43,47,73
26,34,81,100,26
44,23,63,78,44
15,67,28,51,15
91,64,30,55,91
33,53,96,91,33
62,91,94,43,62
74,51,16,29,74
77,53,22,76,77
98,12,81,58,98
53,92,42,8,53
49,18,44,89,49
17,62,80,77,17
